antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'LIQUOR', 'REF'})","frozenset({'BEER', 'NON-ALCOHOL', 'DUNNAGE', 'WINE', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'REF', 'STR_SUPPLIES'})","frozenset({'BEER', 'NON-ALCOHOL', 'DUNNAGE', 'WINE', 'LIQUOR'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'LIQUOR'})","frozenset({'BEER', 'NON-ALCOHOL', 'DUNNAGE', 'REF', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'STR_SUPPLIES'})","frozenset({'BEER', 'NON-ALCOHOL', 'DUNNAGE', 'REF', 'LIQUOR'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'LIQUOR', 'STR_SUPPLIES'})","frozenset({'BEER', 'NON-ALCOHOL', 'DUNNAGE', 'REF', 'WINE'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
frozenset({'BEER'}),"frozenset({'NON-ALCOHOL', 'DUNNAGE', 'REF', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
frozenset({'NON-ALCOHOL'}),"frozenset({'BEER', 'DUNNAGE', 'REF', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
frozenset({'DUNNAGE'}),"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
frozenset({'REF'}),"frozenset({'BEER', 'NON-ALCOHOL', 'DUNNAGE', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
frozenset({'WINE'}),"frozenset({'BEER', 'NON-ALCOHOL', 'DUNNAGE', 'REF', 'LIQUOR', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
frozenset({'LIQUOR'}),"frozenset({'BEER', 'NON-ALCOHOL', 'DUNNAGE', 'REF', 'WINE', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
frozenset({'STR_SUPPLIES'}),"frozenset({'BEER', 'NON-ALCOHOL', 'DUNNAGE', 'REF', 'WINE', 'LIQUOR'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'KEGS', 'WINE', 'LIQUOR'})",frozenset({'STR_SUPPLIES'}),0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'KEGS', 'WINE', 'STR_SUPPLIES'})",frozenset({'LIQUOR'}),0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'KEGS', 'LIQUOR', 'STR_SUPPLIES'})",frozenset({'WINE'}),0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})",frozenset({'KEGS'}),0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'KEGS', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})",frozenset({'REF'}),1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'REF', 'KEGS', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})",frozenset({'NON-ALCOHOL'}),0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'NON-ALCOHOL', 'REF', 'KEGS', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})",frozenset({'BEER'}),0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'KEGS', 'WINE'})","frozenset({'LIQUOR', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'KEGS', 'LIQUOR'})","frozenset({'WINE', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
